,Stock Code,Stock Name,Industry Type,Date,Open,Close,Highest,Lowest,Volume,Turnover,Price Fluctuation,Price Change Rate,Price Change,Turnover Ratio,P/E Ratio(dynamic)
0,600000,浦发银行,银行,2023-10-09,6.76,6.71,6.76,6.68,277631,195214392.00,1.18,-1.03,-0.07,0.09,5.66
1,600000,浦发银行,银行,2023-10-10,6.81,6.69,6.82,6.69,240956,169856241.00,1.94,-0.30,-0.02,0.08,5.66
2,600000,浦发银行,银行,2023-10-11,6.74,6.70,6.76,6.69,240574,169371363.00,1.05,0.15,0.01,0.08,5.66
3,600000,浦发银行,银行,2023-10-12,6.77,6.82,6.85,6.74,363470,259223143.00,1.64,1.79,0.12,0.12,5.66
4,600000,浦发银行,银行,2023-10-13,6.79,6.78,6.83,6.76,196504,139771982.00,1.03,-0.59,-0.04,0.07,5.66
5,600000,浦发银行,银行,2023-10-16,6.80,6.75,6.81,6.72,249077,176097574.00,1.33,-0.44,-0.03,0.08,5.66
6,600000,浦发银行,银行,2023-10-17,6.77,6.77,6.78,6.73,190291,134630097.00,0.74,0.30,0.02,0.06,5.66
7,600000,浦发银行,银行,2023-10-18,6.75,6.73,6.79,6.73,214857,152063024.00,0.89,-0.59,-0.04,0.07,5.66
8,600000,浦发银行,银行,2023-10-19,6.72,6.52,6.73,6.51,616798,425956887.00,3.27,-3.12,-0.21,0.21,5.66
9,600000,浦发银行,银行,2023-10-20,6.49,6.55,6.61,6.48,310680,213203781.00,1.99,0.46,0.03,0.11,5.66
10,600000,浦发银行,银行,2023-10-23,6.55,6.51,6.57,6.48,238243,163199041.00,1.37,-0.61,-0.04,0.08,5.66
11,600000,浦发银行,银行,2023-10-24,6.53,6.50,6.54,6.49,281293,192108544.00,0.77,-0.15,-0.01,0.10,5.66
12,600000,浦发银行,银行,2023-10-25,6.54,6.61,6.61,6.51,268412,184734450.00,1.54,1.69,0.11,0.09,5.66
